steps_0,Unnamed: 1,steps_1,Unnamed: 4,steps_2,Unnamed: 7,steps_3,Unnamed: 10,steps_4,Unnamed: 13,steps_5,Unnamed: 16,steps_6,Unnamed: 19
56324,0,35115,0,94599,0,60358,0,25993,0,245721,0,116929,0
51043,7,31428,22,91347,19,57068,6,20609,7,209955,15,60836,6
37245,12,15953,182,74721,36,52927,26,20106,15,202977,37,33004,11
32592,17,15565,188,70926,43,52558,30,15451,46,200635,60,17862,18
20941,21,14419,198,65985,48,48160,47,11369,77,52644,73,15444,65
20878,37,11901,318,61266,52,47262,51,10254,80,22191,87,13941,85
17542,44,9314,608,53080,74,27108,54,10227,84,19685,101,10199,95
15758,109,4345,764,50977,80,17043,61,7991,139,19290,127,10024,113
9270,130,4280,770,24115,114,17042,62,6421,169,18688,139,6452,114
8652,163,3612,786,23237,116,14250,64,5343,173,18629,141,6141,768
8043,223,2882,801,17590,118,13051,180,4501,223,18379,150,5984,770
6340,224,2527,878,13429,132,11413,199,3797,282,13807,168,5729,777
5934,271,2404,1012,12065,176,10942,233,2952,373,10049,169,4931,1001
5043,306,2304,1068,7246,176,8967,237,2574,381,9224,188,3659,1020
4810,307,2296,2104,7040,177,8423,247,2233,552,7361,189,2857,1053
4283,509,2286,2104,7011,303,6054,381,2215,581,7097,212,2110,1090
3249,661,2261,2442,6681,537,5114,383,1924,675,7094,213,2091,1250
2643,1030,2244,3103,6402,538,3417,392,1529,721,6695,224,2090,1439
2063,1100,2197,4063,6019,542,3110,534,1490,891,1372,231,2049,1439
2023,1170,2180,4906,3853,891,3050,830,1367,1076,1367,288,1730,1444
1961,1174,,,3557,891,2829,1073,1362,1124,1190,383,1729,1657
1959,1419,,,3355,970,2598,1136,1319,2122,1033,396,1723,1937
1939,3735,,,3326,1091,2580,1194,1265,2131,1020,443,1176,2152
1937,5219,,,2934,1163,2458,1238,1250,2131,1009,472,1127,2183
,,,,2780,1169,2379,1443,1200,2270,949,554,1112,2212
,,,,2515,1340,2351,1758,1192,2602,924,681,1103,2315
,,,,2512,1440,2273,1907,1190,2923,905,808,1048,2315
,,,,2486,1641,1808,1967,1149,3169,897,1435,1036,2621
,,,,2483,1741,1638,2010,1129,3199,889,1809,1025,2731
,,,,2362,1815,1632,2010,1126,3420,861,2104,1010,2964
,,,,2353,3074,1492,2011,1125,4577,853,2579,994,3003
,,,,2071,3188,1443,2013,,,850,2827,978,5279
,,,,2015,3245,1432,2083,,,849,2958,977,5345
,,,,1956,3492,1246,2135,,,818,3099,,
,,,,1953,3634,1330,2158,,,812,3108,,
,,,,1935,3978,1306,2180,,,778,3259,,
,,,,1920,5241,1212,2182,,,755,3325,,
,,,,,,1189,2370,,,739,3466,,
,,,,,,1174,2420,,,735,4421,,
,,,,,,1061,2425,,,733,4610,,
,,,,,,1004,2432,,,,,,
,,,,,,1002,2485,,,,,,
,,,,,,1001,2520,,,,,,
,,,,,,994,2829,,,,,,
,,,,,,986,3001,,,,,,
,,,,,,981,3512,,,,,,
,,,,,,952,3522,,,,,,
,,,,,,942,3623,,,,,,
,,,,,,939,4140,,,,,,
,,,,,,740,5224,,,,,,
,,,,,,717,5245,,,,,,
